Designator,Qty,Value,Footprint,Manufacturer Part,LCSC
C1,1,10nF,0603B103K500NT,0603B103K500NT,C57112
"C2,C4",2,10uF,TAJA106K016RNJ,TAJA106K016RNJ,C7171
C3,1,68nF,CL10B683KB8NNNC,CL10B683KB8NNNC,C31658
C5,1,100nF,CC0603KRX7R9BB104,CC0603KRX7R9BB104,C14663
C6,1,100uF,TAJB107K006RNJ,TAJB107K006RNJ,C16133
"C7,C8",2,2.2uF,CL31B225KBHNNNE,CL31B225KBHNNNE,C50254
C19,1,RVT470UF16V67RV0031,RVT470UF16V67RV0031,RVT470UF16V67RV0031,C2858857
C23,1,VEJ101M1HTR-0810,VEJ101M1HTR-0810,VEJ101M1HTR-0810,C176665
C_DCP1,1,22uF,capacitor_0805,22uF,
C_DCP2,1,1uF,capacitor_0603,1uF,
"C_DCP3,C_U3",2,100nF,capacitor_0603,100nF,
"D1,D2,D3,D4,D5",5,D,SS24,SS24,C7420362
"D6,D7",2,D,SD36C,SD36C,C502537
F2,1,F2,fuse,nSMD005,C70064
FB1,1,0H,inductor_0805,BLM21AG601SN1D,
L1,1,ACT45B-510-2P-TL003,ACT45B-510-2P-TL003,ACT45B-510-2P-TL003,C76584
"L2,L3",2,SMMS0650-101M,SMMS0650-101M,SMMS0650-101M,C2894722
LED1,1,KT-0603R,KT-0603R,KT-0603R,C2286
"LED2,LED3",2,19-213_Y2C-CQ2R2L_3T,19-213_Y2C-CQ2R2L_3T,19-213_Y2C-CQ2R2L_3T,C72038
LED4,1,19-217_BHC-ZL1M2RY_3T,19-217_BHC-ZL1M2RY_3T,19-217_BHC-ZL1M2RY_3T,C72041
P1,1,WJ500V-5.08-2P,WJ500V-5.08-2P,WJ500V-5.08-2P,C8465
P2,1,,chip,,
"Q1,Q2,Q3",3,S8050,S8050,S8050,C2146
"Q4,Q5,Q6",3,2N7002,2N7002,2N7002,C8545
"R1,R8,R9",3,100kΩ,resistor_res0603,100kΩ,
"R2,R3,R10",3,10kΩ,resistor_res0603,10kΩ,
"R4,R5,R6,R17",4,1kΩ,resistor_res0603,1kΩ,
R7,1,75Ω,resistor_res0603,75Ω,
"R11,R16,R20",3,150Ω,resistor_res0603,150Ω,
"R12,R13,R14,R15",4,820Ω,FRC2512F8200TS,FRC2512F8200TS,C2999541
R18,1,3.3kΩ,resistor_res0603,3.3kΩ,
R19,1,5.6kΩ,resistor_res0603,5.6kΩ,
"R_BGND,R_DGND,R_PGND",3,0Ω,resistor_res0603,0Ω,
SW1,1,TS-1187A-B-A-B,TS-1187A-B-A-B,TS-1187A-B-A-B,C318884
TVS1,1,D,SMBJ30A,SMBJ30A,C699005
U1,1,TPS5430DDAR,TPS5430DDAR,TPS5430DDAR,C9864
U2,1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N16R8,C5736265
U3,1,74LVC1G14,74LVC1G14,74LVC1G14,
