Ref,Val,Package,PosX,PosY,Rot,Side
"","","hole_circle_holeDiameter2.2677mm",113.552000,-124.062000,0.000000,top
"","","hole_circle_holeDiameter2.2677mm",80.151000,-116.315000,0.000000,top
"","","hole_circle_holeDiameter2.2677mm",119.648000,-83.930000,0.000000,top
"C1","10nF","0603B103K500NT",100.000000,-130.050000,180.000000,top
"C2","10uF","TAJA106K016RNJ",93.600000,-129.199999,0.000000,top
"C3","68nF","CL10B683KB8NNNC",84.596000,-103.361000,180.000000,top
"C4","10uF","TAJA106K016RNJ",88.600000,-129.300000,180.000000,top
"C5","100nF","CC0603KRX7R9BB104",85.150000,-82.030000,0.000000,top
"C6","100uF","TAJB107K006RNJ",79.150000,-124.400000,-90.000000,top
"C7","2.2uF","CL31B225KBHNNNE",110.430000,-123.750000,90.000000,top
"C8","2.2uF","CL31B225KBHNNNE",107.640000,-123.750000,90.000000,top
"C19","RVT470UF16V67RV0031","RVT470UF16V67RV0031",85.310000,-122.600000,-90.000000,top
"C23","VEJ101M1HTR-0810","VEJ101M1HTR-0810",116.200000,-119.000000,90.000000,top
"C_DCP1","22uF","capacitor_0805",88.400000,-88.200000,0.000000,top
"C_DCP2","1uF","capacitor_0603",88.550000,-85.850000,0.000000,top
"C_DCP3","100nF","capacitor_0603",88.550000,-83.550000,0.000000,top
"C_U3","100nF","capacitor_0603",84.200000,-92.600000,180.000000,top
"D1","D","SS24",99.000000,-118.400000,-90.000000,top
"D2","D","SS24",106.200000,-109.650000,180.000000,top
"D3","D","SS24",82.400000,-112.800000,180.000000,top
"D4","D","SS24",106.200000,-106.050000,180.000000,top
"D5","D","SS24",106.200000,-102.450000,180.000000,top
"D6","D","SD36C",116.850000,-92.950000,180.000000,top
"D7","D","SD36C",111.500000,-104.500000,90.000000,top
"F2","F2","fuse",120.600000,-111.250000,-90.000000,top
"FB1","0H","inductor_0805",84.500000,-116.000000,0.000000,top
"L1","ACT45B-510-2P-TL003","ACT45B-510-2P-TL003",116.990000,-95.950000,180.000000,top
"L2","SMMS0650-101M","SMMS0650-101M",93.290000,-122.600000,90.000000,top
"L3","SMMS0650-101M","SMMS0650-101M",107.900000,-116.150000,-90.000000,top
"LED1","KT-0603R","KT-0603R",84.088000,-94.979000,180.000000,top
"LED2","19-213_Y2C-CQ2R2L_3T","19-213_Y2C-CQ2R2L_3T",84.088000,-98.535000,180.000000,top
"LED3","19-213_Y2C-CQ2R2L_3T","19-213_Y2C-CQ2R2L_3T",84.088000,-96.757000,180.000000,top
"LED4","19-217_BHC-ZL1M2RY_3T","19-217_BHC-ZL1M2RY_3T",84.088000,-100.313000,180.000000,top
"P1","WJ500V-5.08-2P","WJ500V-5.08-2P",117.000000,-103.500000,90.000000,top
"P2","","chip",112.282000,-88.629000,0.000000,top
"Q1","S8050","S8050",80.786000,-109.203000,0.000000,top
"Q2","S8050","S8050",116.730000,-82.350000,-90.000000,top
"Q3","S8050","S8050",116.730000,-89.550000,90.000000,top
"Q4","2N7002","2N7002",89.549000,-112.759000,180.000000,top
"Q5","2N7002","2N7002",93.867000,-112.759000,180.000000,top
"Q6","2N7002","2N7002",80.786000,-103.361000,0.000000,top
"R1","100kΩ","resistor_res0603",84.596000,-105.266000,180.000000,top
"R2","10kΩ","resistor_res0603",80.786000,-106.282000,180.000000,top
"R3","10kΩ","resistor_res0603",84.596000,-107.425000,0.000000,top
"R4","1kΩ","resistor_res0603",84.596000,-109.457000,180.000000,top
"R5","1kΩ","resistor_res0603",91.100000,-101.450000,0.000000,top
"R6","1kΩ","resistor_res0603",87.390000,-100.313000,0.000000,top
"R7","75Ω","resistor_res0603",97.423000,-112.759000,-90.000000,top
"R8","100kΩ","resistor_res0603",119.350000,-89.600000,90.000000,top
"R9","100kΩ","resistor_res0603",115.710000,-85.950000,-90.000000,top
"R10","10kΩ","resistor_res0603",88.250000,-81.900000,0.000000,top
"R11","150Ω","resistor_res0603",81.950000,-82.030000,0.000000,top
"R12","820Ω","FRC2512F8200TS",88.250000,-106.280000,90.000000,top
"R13","820Ω","FRC2512F8200TS",92.230000,-106.280000,90.000000,top
"R14","820Ω","FRC2512F8200TS",96.210000,-106.280000,90.000000,top
"R15","820Ω","FRC2512F8200TS",100.190000,-106.280000,90.000000,top
"R16","150Ω","resistor_res0603",87.390000,-96.757000,0.000000,top
"R17","1kΩ","resistor_res0603",87.390000,-94.979000,0.000000,top
"R18","3.3kΩ","resistor_res0603",106.400000,-127.400000,180.000000,top
"R19","5.6kΩ","resistor_res0603",109.650000,-127.400000,180.000000,top
"R20","150Ω","resistor_res0603",87.390000,-98.535000,0.000000,top
"R_BGND","0Ω","resistor_res0603",114.900000,-129.300000,-90.000000,top
"R_DGND","0Ω","resistor_res0603",116.900000,-129.300000,-90.000000,top
"R_PGND","0Ω","resistor_res0603",112.900000,-129.300000,-90.000000,top
"SW1","TS-1187A-B-A-B","TS-1187A-B-A-B",82.056000,-87.867000,90.000000,top
"TVS1","D","SMBJ30A",114.600000,-111.150000,0.000000,top
"U1","TPS5430DDAR","TPS5430DDAR",100.980000,-125.650000,180.000000,top
"U2","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1",100.000000,-87.100000,0.000000,top
"U3","74LVC1G14","74LVC1G14",88.000000,-91.900000,180.000000,top
